day,entry_mode,exit_mode,entry_ts,entry_px,atr,net,gross,exit_reason,wash_label,w15,w30,w60,dip_depth,mfe,mae,br,delta_br,sell_ratio,vol_shrink,drive_high,drive_low
2026-01-02,flow_turn,sealed,1767318300,29196.0,25.0,-5.0,0.0,breakeven,momentum_clean,14.0,72.0,209.0,11.0,209.0,33.0,0.75,0.1786,0.2974,False,29205.0,29077.0
2026-01-02,flow_turn,wash_struct,1767318300,29196.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,14.0,72.0,209.0,11.0,209.0,33.0,0.75,0.1786,0.2974,False,29205.0,29077.0
2026-01-02,flow_turn,drive_low_struct,1767318300,29196.0,25.0,9.0,14.0,horizon,momentum_clean,14.0,72.0,209.0,11.0,209.0,33.0,0.75,0.1786,0.2974,False,29205.0,29077.0
2026-01-02,flow_turn,momentum_tail,1767318300,29196.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,14.0,72.0,209.0,11.0,209.0,33.0,0.75,0.1786,0.2974,False,29205.0,29077.0
2026-01-02,flow_turn,momentum_tail_trail,1767318300,29196.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,14.0,72.0,209.0,11.0,209.0,33.0,0.75,0.1786,0.2974,False,29205.0,29077.0
2026-01-02,p0,sealed,1767318569,29206.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,43.0,99.0,193.0,29.0,205.0,43.0,0.859,0.0006,0.0981,False,29205.0,29077.0
2026-01-02,p0,wash_struct,1767318569,29206.0,25.0,38.0,43.0,horizon,momentum_clean,43.0,99.0,193.0,29.0,205.0,43.0,0.859,0.0006,0.0981,False,29205.0,29077.0
2026-01-02,p0,drive_low_struct,1767318569,29206.0,25.0,38.0,43.0,horizon,momentum_clean,43.0,99.0,193.0,29.0,205.0,43.0,0.859,0.0006,0.0981,False,29205.0,29077.0
2026-01-02,p0,momentum_tail,1767318569,29206.0,25.0,32.0,37.0,trail_stop,momentum_clean,43.0,99.0,193.0,29.0,205.0,43.0,0.859,0.0006,0.0981,False,29205.0,29077.0
2026-01-02,p0,momentum_tail_trail,1767318569,29206.0,25.0,32.0,37.0,trail_stop,momentum_clean,43.0,99.0,193.0,29.0,205.0,43.0,0.859,0.0006,0.0981,False,29205.0,29077.0
2026-01-02,reclaim_br,sealed,1767320038,29264.0,25.0,31.0,36.0,trail_stop,momentum_clean,110.0,132.0,185.0,42.0,191.0,3.0,0.6373,0.1448,0.3627,False,29205.0,29077.0
2026-01-02,reclaim_br,wash_struct,1767320038,29264.0,25.0,31.0,36.0,trail_stop,momentum_clean,110.0,132.0,185.0,42.0,191.0,3.0,0.6373,0.1448,0.3627,False,29205.0,29077.0
2026-01-02,reclaim_br,drive_low_struct,1767320038,29264.0,25.0,31.0,36.0,trail_stop,momentum_clean,110.0,132.0,185.0,42.0,191.0,3.0,0.6373,0.1448,0.3627,False,29205.0,29077.0
2026-01-02,reclaim_br,momentum_tail,1767320038,29264.0,25.0,31.0,36.0,trail_stop,momentum_clean,110.0,132.0,185.0,42.0,191.0,3.0,0.6373,0.1448,0.3627,False,29205.0,29077.0
2026-01-02,reclaim_br,momentum_tail_trail,1767320038,29264.0,25.0,31.0,36.0,trail_stop,momentum_clean,110.0,132.0,185.0,42.0,191.0,3.0,0.6373,0.1448,0.3627,False,29205.0,29077.0
2026-01-05,p0,sealed,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0,wash_struct,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0,drive_low_struct,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0,momentum_tail,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0,momentum_tail_trail,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0_quality,sealed,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
2026-01-05,p0_quality,wash_struct,1767577500,30179.0,35.5,71.7,76.7,trail_stop,momentum_clean,2.0,114.0,136.0,0.0,205.0,41.0,1.0,0.0,0.3333,False,30176.0,29945.0
